split	7	15	48	4475
KGAT	0.3284	0.3218	0.3817	0.3812
KGIN	0.3321	0.3822	0.3602	0.4257
KGCL	0.3657	0.3908	0.3763	0.4282
KGREC	0.3694	0.3678	0.3978	0.3911
CSKEG	0.3578	0.3928	0.403	0.4312
