0.194	0.082	0.108	0.051	0.107	0.053
0.173	0.084	0.120	0.061	0.112	0.059
0.344	0.173	0.173	0.084	0.296	0.207
0.262	0.125	0.160	0.073	0.193	0.127
0.320	0.153	0.122	0.053	0.194	0.125
0.320	0.153	0.122	0.053	0.189	0.114
0.169	0.075	0.101	0.043	0.238	0.155
0.310	0.167	0.123	0.065	0.120	0.063
0.339	0.160	0.163	0.077	0.320	0.221
0.361	0.176	0.195	0.093	0.322	0.239
0.380	0.194	0.187	0.091	0.338	0.233
0.372	0.178	0.175	0.081	0.347	0.240
0.395	0.197	0.204	0.098	0.357	0.250
